verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
mostly-true,Stephen Carter,"""More than 70 percent of American adults have committed a crime that could lead to imprisonment.""",12/4/2014,news,Jon Greenberg,12/8/2014,https://www.politifact.com/factchecks/2014/dec/08/stephen-carter/watch-out-70-us-have-done-something-could-put-us-j/
pants-fire,Americans for Prosperity,"Says the stimulus bill sent tax credits overseas, such as ""$1.2 billion to a solar company that's building a plant in Mexico.""",4/26/2012,advertisement,Becky Bowers,5/2/2012,https://www.politifact.com/factchecks/2012/may/02/americans-prosperity/ad-says-stimulus-tax-credits-funded-solar-company-/
mostly-false,Bob Buckhorn,"Tampa Bay is ""leading the state in jobs creation.""",1/15/2015,campaign,Richard Danielson,1/15/2015,https://www.politifact.com/factchecks/2015/jan/15/bob-buckhorn/tampa-bay-area-leads-florida-job-creation-buckhorn/
mostly-false,Kelly Loeffler,"Says Raphael Warnock has ""said we need to open up the prisons"" and ""eliminate cash bail.""",12/9/2020,news,Tom Kertscher,12/18/2020,https://www.politifact.com/factchecks/2020/dec/18/kelly-loeffler/ga-race-kelly-loeffler-distorts-raphael-warnocks-s/
pants-fire,Michele Bachmann,"The IRS is going to be ""in charge"" of ""a huge national database"" on health care that will include Americans’ ""personal, intimate, most close-to-the-vest-secrets.""",5/15/2013,news,Louis Jacobson,5/20/2013,https://www.politifact.com/factchecks/2013/may/20/michele-bachmann/michele-bachmann-decries-huge-national-database-ru/
false,The Gateway Pundit,"""Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours after deadline.""",2/5/2021,news,Clara Hendrickson,2/5/2021,https://www.politifact.com/factchecks/2021/feb/05/gateway-pundit/video-does-not-provide-evidence-election-fraud-det/
mostly-true,Roberta Lange,"Says Donald Trump ""literally has no plans to make higher education more affordable.""",6/22/2016,news,Riley Snyder,6/28/2016,https://www.politifact.com/factchecks/2016/jun/28/roberta-lange/nevada-democrats-correct-attacking-donald-trumps-n/
pants-fire,Facebook posts,"Post says a recent bill passed, and ""We get another stimulus check for $2500 at July 30, 2021""",7/15/2021,social_media,Kelsey Sena Tamakloe,7/15/2021,https://www.politifact.com/factchecks/2021/jul/15/facebook-posts/social-media-post-about-another-stimulus-check-gov/
false,Donald Trump,"With voting by mail, ""you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.""",4/7/2020,news,Louis Jacobson,4/9/2020,https://www.politifact.com/factchecks/2020/apr/09/donald-trump/donald-trumps-dubious-claim-thousands-are-conspiri/
mostly-false,Terry McAuliffe,"During his governorship, Virginia made ""the largest investment ever in K-12 education.""",1/24/2019,speech,Warren Fiske,3/26/2019,https://www.politifact.com/factchecks/2019/mar/26/terry-mcauliffe/mcauliffe-claim-record-k-12-spending-misleading/
mostly-true,Chris Christie,"""In the entire public school system in Camden last year, only three students graduated college ready.""",1/14/2014,speech,Bill Wichert,1/26/2014,https://www.politifact.com/factchecks/2014/jan/26/chris-christie/chris-christie-claims-only-three-college-ready-stu/
false,Donald Trump,"Says he is ""cutting illegal immigration in half.""",10/30/2019,campaign,Miriam Valverde,10/31/2019,https://www.politifact.com/factchecks/2019/oct/31/donald-trump/donald-trumps-world-series-ad-said-he-cut-illegal-/
true,Pete Buttigieg,"""There is racism physically built into some of our highways.""",4/6/2021,news,Louis Jacobson,4/15/2021,https://www.politifact.com/factchecks/2021/apr/15/pete-buttigieg/pete-buttigieg-right-racism-shaped-some-urban-high/
mostly-true,Jay Wiley,"Austin has ""over 1,000 city employees that make six-figure salaries.""",9/15/2014,meeting,W. Gardner Selby,9/25/2014,https://www.politifact.com/factchecks/2014/sep/25/jay-wiley/austin-city-council-hopeful-slightly-saying-more-1/
mostly-true,Patrick Murphy,"Says Marco Rubio ""has a 98 percent voting record with the Koch brothers.""",10/27/2016,speech,Allison Graves,10/27/2016,https://www.politifact.com/factchecks/2016/oct/27/patrick-murphy/patrick-murphy-marco-rubio-voted-98-percent-time-k/
pants-fire,Tucker Carlson,"Says John Bolton ""fundamentally was a man of the left.""",9/10/2019,television,Bill McCarthy,9/13/2019,https://www.politifact.com/factchecks/2019/sep/13/tucker-carlson/tucker-carlson-falsely-claims-john-bolton-was-man-/
false,Facebook posts,"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.",1/22/2022,blog,Monique Curet,1/24/2022,https://www.politifact.com/factchecks/2022/jan/24/facebook-posts/covid-19-vaccines-do-not-contain-graphene-are-not-/
false,David Alameel,Says he lived in a colonia while working as a farm worker.,6/28/2014,speech,W. Gardner Selby,7/2/2014,https://www.politifact.com/factchecks/2014/jul/02/david-alameel/alameel-lived-la-colonia-community-it-wasnt-coloni/
mostly-true,Chris Van Hollen,"""The Republicans have demanded deep cuts in education. They've demanded cuts in cancer research and other research to find cures and treatments to diseases.""",4/10/2011,news,Louis Jacobson,4/15/2011,https://www.politifact.com/factchecks/2011/apr/15/chris-van-hollen/chris-van-hollen-says-gop-has-demanded-deep-cuts-e/
false,Terri Bryant,"""75% of Republicans have been vaccinated"" against COVID-19 in Illinois.",9/21/2021,radio,Kiannah Sepeda-Miller,10/3/2021,https://www.politifact.com/factchecks/2021/oct/03/terri-bryant/no-proof-lawmakers-claim-75-illinois-republicans-a/
mostly-true,John Kitzhaber,"""Creating 25 jobs in Umatilla County has the same impact as 500 jobs in the metro region.""",4/19/2011,news,Ian K. Kullgren,6/17/2011,https://www.politifact.com/factchecks/2011/jun/17/john-kitzhaber/governor-compares-creating-25-jobs-rural-umatilla-/
mostly-true,Kendrick Meek,"""When I become the nominee, the Democratic nominee, I will be the only pro-choice candidate on the ballot.""",6/22/2010,speech,Cristina Silva,6/22/2010,https://www.politifact.com/factchecks/2010/jun/22/kendrick-meek/meeks-pro-choice-stance-stands-out/
true,Rudy Giuliani,"Financial conflict-of-interest ""laws don't apply to the president, right? So, the president doesn't have to have a blind trust.""",11/13/2016,television,Lauren Carroll,11/16/2016,https://www.politifact.com/factchecks/2016/nov/16/rudy-giuliani/giuliani-president-trump-will-be-exempt-conflict-i/
false,Bruce Rauner,"Says ""J.B. Pritzker’s tax plan"" includes a ""new tax per mile you drive with government tracking device.""",9/6/2018,advertisement,Kiannah Sepeda-Miller,9/23/2018,https://www.politifact.com/factchecks/2018/sep/23/bruce-rauner/rauner-veers-course-claiming-pritzker-proposed-mil/
mostly-true,Chris Christie,"""Given how expansive our program already was,"" expanding Medicaid in New Jersey due to Obamacare ""was a relatively small expansion.""",11/10/2013,news,Julie Kliegman,11/14/2013,https://www.politifact.com/factchecks/2013/nov/14/chris-christie/new-jersey-medicaid-expansion-was-small-given-alre/
true,Tennessee Democratic Party,"Says a federal judge ""sanctions Tennessee ‘birther’ lawyer … for bringing a frivolous lawsuit.""",8/28/2012,news,Richard Locker,9/2/2012,https://www.politifact.com/factchecks/2012/sep/02/tennessee-democratic-party/birthers-sanctioned-federal-judge-frivolous-lawsui/
false,Chain email,"On new dollar coins, ""'In God We Trust' is gone!""",8/28/2012,email,Louis Jacobson,9/11/2012,https://www.politifact.com/factchecks/2012/sep/11/chain-email/taking-god-we-trust-coins-was-debunked-years-ago/
false,Democratic Party of Wisconsin,"Says ""over 1 million signatures"" were submitted in attempt to recall Gov. Scott Walker.",1/17/2012,social_media,Tom Kertscher,3/15/2012,https://www.politifact.com/factchecks/2012/mar/15/state-democratic-party-wisconsin/democrats-say-more-1-million-signatures-were-submi/
mostly-true,Joe Biden,"""All the billionaires in America, their net worth combined … has increased by $800 billion"" during the pandemic.",9/21/2020,speech,Nusaiba Mizan,10/12/2020,https://www.politifact.com/factchecks/2020/oct/12/joe-biden/biden-says-billionaires-gained-800-billion-study-l/
mostly-true,Van Jones,"African-Americans don't use drugs at a higher level than whites but ""wind up going to prison six times more.""",7/7/2016,television,C. Eugene Emery Jr.,7/13/2016,https://www.politifact.com/factchecks/2016/jul/13/van-jones/van-jones-claim-drug-use-imprisonment-rates-blacks/
true,John Boehner,"""PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress.""",1/22/2010,news,Robert Farley,1/25/2010,https://www.politifact.com/factchecks/2010/jan/25/john-boehner/boehner-claims-house-republicans-dominate-twitter-/
half-true,John Boehner,"""This year, the federal government will have more revenue than any year in the history of our country.""",10/6/2013,news,Louis Jacobson,10/7/2013,https://www.politifact.com/factchecks/2013/oct/07/john-boehner/john-boehner-says-us-will-have-record-revenues-yea/
pants-fire,Bloggers,Says ex-Minneapolis officer accused of killing George Floyd commits suicide in prison cell.,5/31/2020,news,Samantha Putterman,6/1/2020,https://www.politifact.com/factchecks/2020/jun/01/blog-posting/ex-minneapolis-police-officer-derek-chauvin-did-no/
false,Arsalan Iftikhar,"""59 percent of Americans today believe that Barack Obama is still a Muslim.""",11/22/2015,news,Louis Jacobson,11/23/2015,https://www.politifact.com/factchecks/2015/nov/23/arsalan-iftikhar/do-59-percent-americans-believe-barack-obama-musli/
mostly-false,Akbar Al Baker,The average age of planes in the Qatar Airways fleet is about four years while Delta Air Lines flies planes that are 35 years old.,3/16/2015,news,Nancy Badertscher,5/19/2015,https://www.politifact.com/factchecks/2015/may/19/akbar-al-baker/qatar-airways-leader-mark/
half-true,Paul Stekler,"Louisiana’s film incentives program is so big ""they actually shot an upcoming film initially titled ‘Don’t Mess With Texas’ in New Orleans!""",1/24/2015,news,W. Gardner Selby,2/7/2015,https://www.politifact.com/factchecks/2015/feb/07/paul-stekler/paul-stekler-says-louisiana-incentives-best-nation/
half-true,Newt Gingrich,"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump""",9/19/2016,social_media,Jim Tharpe,9/23/2016,https://www.politifact.com/factchecks/2016/sep/23/newt-gingrich/gingrich-spins-clintons-words-trump-and-terrorism/
true,Mike Haridopolos,"""Whether you like to admit it or not, half our general revenue goes to education.""",1/12/2011,news,Aaron Sharockman,1/14/2011,https://www.politifact.com/factchecks/2011/jan/14/mike-haridopolos/florida-senate-president-warns-education-funding-c/
mostly-true,Wayne LaPierre,"""By the time I finish this speech, two Americans will be slain, six women will be raped, 27 of us will be robbed, and 50 more will be beaten.""",4/14/2012,speech,Louis Jacobson,4/16/2012,https://www.politifact.com/factchecks/2012/apr/16/wayne-lapierre/nras-wayne-lapierre-cites-frequency-violent-crime-/
half-true,Mark Butler,Darryl Hicks had seven ethics violations and didn't pay most of the fines.,10/17/2010,speech,Eric Stirgus,10/26/2010,https://www.politifact.com/factchecks/2010/oct/26/mark-butler/candidates-spar-over-ethics-claims/
false,Jon Voight,"""The word progressive ... was created as a substitute for ‘communist’.""",10/20/2015,news,Jon Greenberg,10/22/2015,https://www.politifact.com/factchecks/2015/oct/22/jon-voight/actor-jon-voight-says-progressive-just-another-wor/
half-true,Donald Trump,"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four times higher than anybody else.""",11/8/2015,speech,Lauren Carroll,11/8/2015,https://www.politifact.com/factchecks/2015/nov/08/donald-trump/trump-my-numbers-leadership-its-two-or-three-or-fo/
mostly-false,Bloggers,"""By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan.""",12/9/2013,blog,Louis Jacobson,12/17/2013,https://www.politifact.com/factchecks/2013/dec/17/blog-posting/viral-blog-posts-say-obama-minions-are-allowing-co/
half-true,Let Freedom Ring,Says Obama flip-flopped on banning handguns.,7/24/2008,advertisement,Bill Adair,7/24/2008,https://www.politifact.com/factchecks/2008/jul/24/let-freedom-ring/on-the-fence----consistently-/
pants-fire,Facebook posts,"The ""3 red stripes"" in Joe Biden’s campaign logo refer to a Chinese socialist slogan.",10/20/2020,social_media,Daniel Funke,10/22/2020,https://www.politifact.com/factchecks/2020/oct/22/facebook-posts/biden-campaign-logo-does-not-pay-homage-chinese-so/
half-true,U.S. Chamber of Commerce,"""Obamacare (hit) Americans with over $500 billion in new taxes.""",2/8/2012,advertisement,Becky Bowers,2/16/2012,https://www.politifact.com/factchecks/2012/feb/16/us-chamber-commerce/chamber-commerce-ad-says-obamacare-hit-americans-o/
false,Michael Kearns,"Undocumented drivers ""have protections that US citizens don’t receive under Green light bill.""",6/17/2019,social_media,Jill Terreri Ramos,6/29/2019,https://www.politifact.com/factchecks/2019/jun/29/michael-kearns/kearns-claims-undocumented-drivers-get-special-pri/
true,Martin Kiar,"""You can go to Georgia and make about $6,000 more a year as a teacher.""",12/14/2010,meeting,Amy Sherman,12/21/2010,https://www.politifact.com/factchecks/2010/dec/21/martin-kiar/state-rep-kiar-says-teachers-georgia-earn-6000-mor/
false,John McCain,"""The Iranians continue – in the view of every objective observer – continue to pursue the acquisition of nuclear weapons.""",6/24/2008,other,Alexander Lane,7/7/2008,https://www.politifact.com/factchecks/2008/jul/07/john-mccain/no-consensus-on-irans-nuke-program/
mostly-false,Viral image,A photo of a burned cat is from the Australia wildfires.,1/4/2020,social_media,Samantha Putterman,1/7/2020,https://www.politifact.com/factchecks/2020/jan/07/viral-image/image-burned-cat-isnt-australia-wildfires/
half-true,Andy Gronik,"Wisconsin is ""dead-last in creating new businesses"" for ""three years in a row.""",7/11/2017,news,Tom Kertscher,7/26/2017,https://www.politifact.com/factchecks/2017/jul/26/andy-gronik/half-true-attack-scott-walker-and-if-wisconsin-3-y/
mostly-true,Newt Gingrich,"The EPA was asked about an environmental citation for the city landfill in Nashua, N.H. but ""didn’t know"" why it was cited.",1/8/2012,social_media,Maryalice Gill,1/8/2012,https://www.politifact.com/factchecks/2012/jan/08/newt-gingrich/newt-gingrich-says-epa-didnt-know-why-it-cited-new/
half-true,Barack Obama,"""I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke [in March 2007], and told them this is something we have to deal with, and nobody did anything about it.""",10/7/2008,speech,Robert Farley,10/13/2008,https://www.politifact.com/factchecks/2008/oct/13/barack-obama/2007-was-too-late-to-head-off-the-crisis/
mostly-true,Ted Cruz,"Says Beto O’Rourke is ""open to abolishing ICE.""",8/3/2018,advertisement,W. Gardner Selby,8/6/2018,https://www.politifact.com/factchecks/2018/aug/06/ted-cruz/ted-cruz-says-beto-orourke-open-abolishing-ice/
false,Leonidas Raptakis,The minimum wage has risen $2.35 in the last two years. That's 31 percent.,2/5/2015,testimony,C. Eugene Emery Jr.,2/16/2015,https://www.politifact.com/factchecks/2015/feb/16/leonidas-raptakis/ri-sen-leonidas-raptakis-says-state-minimum-wage-r/
pants-fire,Brad Schimel,There is no ‘backlog’ of untested rape kits in Wisconsin.,4/9/2017,news,Eric Litke,5/19/2017,https://www.politifact.com/factchecks/2017/may/19/brad-schimel/brad-schimel-falsely-claims-there-no-backlog-untes/
false,Jeanine Pirro,"""There are 63 million abortions a year in this country.""",5/3/2022,news,Sara Swann,5/4/2022,https://www.politifact.com/factchecks/2022/may/04/jeanine-pirro/jeanine-pirro-wrongly-says-there-are-63-million-ab/
mostly-false,Paul Sadler,"Ted Cruz is ""unknown to the vast majority of Texans.""",7/31/2012,statement,W. Gardner Selby,8/20/2012,https://www.politifact.com/factchecks/2012/aug/20/paul-sadler/paul-sadler-says-ted-cruz-unknown-vast-majority-te/
true,John McCain,"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.""",5/19/2008,other,Robert Farley,5/21/2008,https://www.politifact.com/factchecks/2008/may/21/john-mccain/he-has-said-it-again-and-again/
mostly-false,Madison Cawthorn,"Children and teen suicide attempts ""skyrocketed 250% in 2020"" according to ""one study done by a hospital.""",9/14/2021,speech,Paul Specht,9/27/2021,https://www.politifact.com/factchecks/2021/sep/28/madison-cawthorn/cawthorn-misrepresents-data-youth-suicides/
mostly-true,John Cornyn,"According to the U.S. Census Bureau, 71.2 percent of Hispanic registered voters in Texas and over 86 percent of African American registered voters participated in the 2012 elections.",8/8/2013,news,W. Gardner Selby,8/16/2013,https://www.politifact.com/factchecks/2013/aug/16/john-cornyn/cornyn-echoes-survey-latino-african-american-voter/
pants-fire,Rick Santorum,"Rick Santorum says Rick Perry requested 1,200 earmarks as governor of Texas.",1/11/2012,news,Katie Glueck,1/20/2012,https://www.politifact.com/factchecks/2012/jan/20/rick-santorum/rick-santorum-says-rick-perry-requested-1200-congr/
false,Viral image,"A wind turbine ""could never generate as much energy as was invested in building it.""",9/16/2021,social_media,Jon Greenberg,10/12/2021,https://www.politifact.com/factchecks/2021/oct/12/viral-image/actually-wind-turbines-easily-produce-more-power-i/
mostly-false,Barack Obama,"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""",6/29/2016,news,Neelesh Moorthy,7/5/2016,https://www.politifact.com/factchecks/2016/jul/05/barack-obama/obama-incorrectly-characterizes-job-growth-due-inc/
half-true,Fight for the Future,"""We saw the true danger of the FCC's net neutrality repeal when Verizon was caught throttling California fire fighters.""",8/28/2018,social_media,John Kruzel,9/7/2018,https://www.politifact.com/factchecks/2018/sep/07/fight-future/could-net-neutrality-have-shielded-california-fire/
false,Facebook posts,"Scott Walker ""had a 2.3 GPA when he was asked to leave Marquette University for cheating.""",8/11/2015,social_media,Tom Kertscher,8/11/2015,https://www.politifact.com/factchecks/2015/aug/11/facebook-posts/scott-walker-was-asked-leave-marquette-university-/
mostly-false,Mitt Romney,"""I saw my father march with Martin Luther King.""",12/6/2007,other,Angie Drobnic Holan,12/28/2007,https://www.politifact.com/factchecks/2007/dec/28/mitt-romney/george-romney-and-mlk-marched-but-not-together/
half-true,Cory Booker,"Says 2012 was the ""first year in American history that more minorities are being born than people in the majority.""",2/1/2013,other,Caryn Shinske,2/17/2013,https://www.politifact.com/factchecks/2013/feb/17/cory-booker/cory-booker-says-more-minorities-born-2012-racial-/
pants-fire,BlueNC,"A proposed constitutional amendment ""will pave the way for making abortion illegal under North Carolina’s constitution.""",8/14/2018,blog,Paul Specht,8/14/2018,https://www.politifact.com/factchecks/2018/aug/14/bluenc/could-nc-constitutional-amendment-make-abortion-il/
pants-fire,Facebook posts,"""‘Simple math’ shows Biden claims 13 million more votes than there were eligible voters who voted in 2020 election.""",12/20/2020,social_media,Amy Sherman,12/23/2020,https://www.politifact.com/factchecks/2020/dec/23/facebook-posts/bogus-analysis-leads-ridiculous-claim-about-biden-/
mostly-false,Facebook posts,"""Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.""",2/21/2021,social_media,Ciara O'Rourke,2/23/2021,https://www.politifact.com/factchecks/2021/feb/23/facebook-posts/goldman-sachs-doesnt-oversee-texas-utilities/
false,Facebook posts,"Monkeypox is biological warfare ""against us by our governments.""",5/21/2022,social_media,Ciara O'Rourke,5/24/2022,https://www.politifact.com/factchecks/2022/may/24/facebook-posts/no-monkeypox-outbreaks-arent-due-biological-warfar/
mostly-true,Barry DuVal,"""We're the only major oil-producing nation in the world with a self-imposed ban on exporting our crude oil to other nations.""",9/25/2015,news,Sean Gorman,9/17/2015,https://www.politifact.com/factchecks/2015/sep/17/barry-duval/barry-duval-says-us-only-major-oil-producer-bans-c/
mostly-true,U.S. Chamber of Commerce,"""A Florida judge ruled parts of Obamacare unconstitutional.""",5/8/2012,advertisement,Katie Sanders,5/18/2012,https://www.politifact.com/factchecks/2012/may/18/us-chamber-commerce/attack-against-alan-grayson-chamber-points-florida/
mostly-true,Gwen Graham,"""So far this year, more students have been killed in schools than soldiers in combat zones.""",5/18/2018,social_media,Louis Jacobson,5/21/2018,https://www.politifact.com/factchecks/2018/may/21/gwen-graham/have-more-students-been-killed-schools-soldiers-co/
false,Facebook posts,"Say Nancy Pelosi’s net worth is $196,299,990.",1/23/2020,social_media,Louis Jacobson,2/3/2020,https://www.politifact.com/factchecks/2020/feb/03/facebook-posts/no-nancy-pelosis-net-worth-not-196-million/
true,Ron Amstutz,"The budget currently being debated ""significantly decreases the use of one-time resources.""",5/28/2011,news,Mark Naymik,6/14/2011,https://www.politifact.com/factchecks/2011/jun/14/ron-amstutz/state-rep-ron-amstutz-says-budget-now-being-debate/
false,Susan Latvala,"""One of the other inaccuracies ... is that we have raised taxes multiple times and run up the budget. Absolutely not true. One tax increase since I’ve been in office. It was a quarter mill tax in the unincorporated area only.""",9/14/2010,meeting,David DeCamp,9/24/2010,https://www.politifact.com/factchecks/2010/sep/25/susan-latvala/pinellas-county-commissioner-susan-latvala-says-sh/
false,Mahmoud Ahmadinejad,"It's ""not true"" that since he's been the president, executions in Iran have increased by four times.",9/19/2010,television,Robert Farley,9/23/2010,https://www.politifact.com/factchecks/2010/sep/23/mahmoud-ahmadinejad/iranian-president-mahmoud-ahmadinejad-denies-execu/
false,Georgia state senators,Say easing restrictions on selling alcohol on Sundays will result in more traffic crashes and fatalities.,3/16/2011,speech,Eric Stirgus,3/18/2011,https://www.politifact.com/factchecks/2011/mar/18/georgia-state-senators/lawmakers-claim-sunday-alcohol-sales-proves-flawed/
mostly-false,Bloggers,"""Democrats just elected (include)… a man who preys on underage prostitutes … and an anti-semitic racist who beats women.""",11/7/2018,social_media,Ciara O'Rourke,11/13/2018,https://www.politifact.com/factchecks/2018/nov/13/blog-posting/post-elected-dems-draws-unsubstantiated-claims/
mostly-false,Scott Walker,"""Overwhelming Democrat and Republican votes"" in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.",6/6/2012,radio,Dave Umhoefer,6/13/2012,https://www.politifact.com/factchecks/2012/jun/13/scott-walker/gov-scott-walker-says-he-got-overwhelming-bipartis/
pants-fire,Todd Staples,"""To deprive"" underprivileged children ""of a meat-based protein during school lunch is most likely depriving them of their only source of protein for the day.""",9/8/2014,news,Dylan Baddour,9/21/2014,https://www.politifact.com/factchecks/2014/sep/21/todd-staples/todd-staples-airs-smoky-claim-about-children-not-g/
mostly-false,Nathan Deal,"""Handel endorsed gay adoption"" in 2003 when she was running for chairwoman of the Fulton County Commission.",5/12/2010,statement,Jim Tharpe,6/7/2010,https://www.politifact.com/factchecks/2010/jun/07/nathan-deal/deal-claims-handel-supported-gay-adoption/
true,David Dooley,"""We have to recognize that our salaries for faculty are the lowest in New England with the exception of the University of Maine.""",4/8/2012,news,Alex Kuffner,5/3/2012,https://www.politifact.com/factchecks/2012/may/03/david-dooley/university-rhode-island-president-david-dooley-say/
false,Tweets,"Research from Japan shows ""ivermectin is effective against omicron in Phase III trial.""",1/31/2022,social_media,Gabrielle Settles,2/2/2022,https://www.politifact.com/factchecks/2022/feb/02/tweets/ivermectin-study-showed-antiviral-effect-which-not/
mostly-false,Tammy Baldwin,"""I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.""",7/30/2012,advertisement,Tom Kertscher,8/22/2012,https://www.politifact.com/factchecks/2012/aug/22/tammy-baldwin/wisconsin-rep-tammy-baldwin-dem-us-senate-candidat/
mostly-false,Marty Beil,"Says Gov. Scott Walker ""raises the pay of inmates, but we don't raise the pay of staff in our correctional institutions.""",7/19/2012,news,Tom Kertscher,8/19/2012,https://www.politifact.com/factchecks/2012/aug/19/marty-beil/wisconsin-gov-scott-walker-gave-raises-working-pri/
half-true,Rob Cornilles,Suzanne Bonamici votes with her party a partisan 98 percent of the time.,11/27/2011,speech,Janie Har,12/9/2011,https://www.politifact.com/factchecks/2011/dec/10/rob-cornilles/does-suzanne-bonamici-vote-partisan-98-percent-tim/
false,Viral image,"A New York law makes it ""now perfectly legal to murder"" a baby a minute before it would be born.",1/23/2019,social_media,Ciara O'Rourke,2/1/2019,https://www.politifact.com/factchecks/2019/feb/01/viral-image/no-new-york-abortion-law-doesnt-let-mothers-abort-/
mostly-false,National Republican Congressional Committee,"Gas prices have gone up 99 percent since Obama became president, ""the highest gas price increase since Carter.""",4/20/2012,news,Alex Kuffner,4/29/2012,https://www.politifact.com/factchecks/2012/apr/29/national-republican-congressional-committee/national-republican-congressional-committee-says-g/
half-true,Jeff Tittel,"""DEP has 2,812 employees, the lowest level since the mid-’80s.""",3/2/2013,news,Caryn Shinske,3/17/2013,https://www.politifact.com/factchecks/2013/mar/17/jeff-tittel/sierra-clubs-jeff-tittel-claims-dep-staffing-level/
